"language","k","rep","mae_all","err_all","mae_heldout","err_heldout","sd_language"
"rus",10,3,0.041402792341395,0.0275665784600454,0.0461841255495867,0.035642718917415,0.232538553880344
"rus",20,1,0.0216509193699745,0.0184834721331867,0.0253856910591452,0.0235745491573243,0.230703353040174
"rus",20,2,0.0212239174393039,0.000751659016551831,0.022649546915321,0.00488351465298031,0.246612164239742
"rus",20,3,0.0233238969504605,-0.00737569842338648,0.0231520613676483,0.0121724562726003,0.267373646535913
"ukr",1,1,0.061278044703375,-0.0335378827524915,0.0609465155132825,-0.0333566936174573,0.248315740167793
"ukr",1,2,0.0575227393945123,0.0469889589292239,0.0576526645651521,0.0473268886019765,0.303611616810655
"ukr",1,3,0.0386131728143069,-0.00491255870210938,0.0384918158883004,-0.00677599602056944,0.251734751370604
"ukr",2,1,0.055736209314467,-0.0124641216157372,0.0555152305041893,-0.013342205379169,0.250907079635969
"ukr",2,2,0.0412278838861197,0.0153340755487785,0.0407113586860607,0.0142186722039224,0.266935111342949
"ukr",2,3,0.0505447005739442,0.0261119127070717,0.0497986115665285,0.0248068893781372,0.282998361435809
"ukr",5,1,0.0618194478025765,-0.037306619251024,0.0608305737185035,-0.036938428673842,0.24724698188498
"ukr",5,2,0.0365923865443984,0.00448044480527066,0.0375485571603058,0.0101821334672363,0.254692556379295
"ukr",5,3,0.0381837790828991,-0.00701397583010954,0.0383912261537946,-0.00579898320562655,0.248563178394527
"ukr",10,1,0.0388422158428175,0.0271931710493096,0.044691502333558,0.0380397691259672,0.26532665766261
"ukr",10,2,0.0332083398533078,-0.00748350492345606,0.0326536157376542,-0.00228223280318174,0.248298246560481
"ukr",10,3,0.0338902602021063,-0.00112160910558645,0.0342210141425238,0.00131250592172372,0.249408617966059
"ukr",20,1,0.0340956932697346,0.0322475240968176,0.0442571348269431,0.0439818490408201,0.2752361921761
"ukr",20,2,0.0242554613625922,-0.00845405617898931,0.0236634039712976,0.000595062843023908,0.248406234481878
"ukr",20,3,0.0214416769223659,-0.00221203290447436,0.020096041369288,0.0048993649200203,0.248767456840504
"zho",1,1,0.0713770272877647,0.0614316539190998,0.0710119439413097,0.0609928714698436,0.335026911006787
"zho",1,2,0.0510816727223848,-0.014205888791854,0.0510012497399021,-0.0149928512714226,0.250662791325699
"zho",1,3,0.0615932229891904,-0.0403465291327776,0.0620618051824248,-0.0414744533675534,0.24530624094486
"zho",2,1,0.114909023353437,-0.0519711116310129,0.114219011584954,-0.0497577986975836,0.259585570103127
"zho",2,2,0.0488614511260171,-0.00553082401956295,0.0494582889418899,-0.00226598870502914,0.251581468412113
"zho",2,3,0.053532037495494,-0.0274770598040995,0.0537345277231321,-0.0282993234704989,0.248942074263174
"zho",5,1,0.051734132994994,0.0020911111608457,0.0522491635094031,0.0101046377290467,0.245797212336306
"zho",5,2,0.0651416306675126,-0.0311959720244966,0.0630669002274282,-0.0267229215714899,0.245317899281117
"zho",5,3,0.0765319235219394,-0.0674608564056786,0.0768553567113562,-0.0681223288370854,0.254443202083709
"zho",10,1,0.0365762235023614,-0.0017093995652212,0.0367205169054918,0.00392572925365531,0.247487946474917
"zho",10,2,0.0405614412536286,-0.0244330961188454,0.0388995789371764,-0.0211967043667171,0.244042203693676
"zho",10,3,0.0472635921475443,-0.0402797912202948,0.0475350364279856,-0.0403496775077251,0.249049728782113
"zho",20,1,0.0326917807021383,0.0240203738247401,0.0366031245026862,0.0304658446664835,0.266402971007601
"zho",20,2,0.0218033673339457,-0.00138601352901746,0.0219125759711492,0.00185613068486856,0.248794910928552
"zho",20,3,0.0294537004199366,-0.0187134710508711,0.0278432815874583,-0.011263724754681,0.244182952618896
