model,language,tokenizer_fertility,english_fertility_tokens_per_character
EuroLLM-22B-Instruct-2512,mar,0.5778631608184427,0.3297022143038941
EuroLLM-22B-Instruct-2512,nld,0.3260647675605456,0.3297022143038941
EuroLLM-22B-Instruct-2512,nob,0.3641743142269695,0.3297022143038941
EuroLLM-22B-Instruct-2512,rus,0.3601902429836127,0.3297022143038941
EuroLLM-22B-Instruct-2512,ukr,0.4144641437058521,0.3297022143038941
EuroLLM-22B-Instruct-2512,zho,1.058614564831261,0.3297022143038941
EuroLLM-9B-Instruct-2512,ara,0.5045431740899716,0.3297022143038941
EuroLLM-9B-Instruct-2512,dan,0.3637853949329359,0.3297022143038941
EuroLLM-9B-Instruct-2512,deu,0.3222217277137389,0.3297022143038941
EuroLLM-9B-Instruct-2512,eng,0.3297022143038941,0.3297022143038941
EuroLLM-9B-Instruct-2512,eng_metric,0.3286176232821342,0.3297022143038941
EuroLLM-9B-Instruct-2512,est,0.378465029101312,0.3297022143038941
EuroLLM-9B-Instruct-2512,fra,0.3524952058154573,0.3297022143038941
EuroLLM-9B-Instruct-2512,hin,0.4663987945755901,0.3297022143038941
EuroLLM-9B-Instruct-2512,isl,0.5091520538073505,0.3297022143038941
EuroLLM-9B-Instruct-2512,ita,0.327673869620483,0.3297022143038941
EuroLLM-9B-Instruct-2512,jpn,0.7547782185358817,0.3297022143038941
EuroLLM-9B-Instruct-2512,mar,0.5778631608184427,0.3297022143038941
EuroLLM-9B-Instruct-2512,nld,0.3260647675605456,0.3297022143038941
EuroLLM-9B-Instruct-2512,nob,0.3641743142269695,0.3297022143038941
EuroLLM-9B-Instruct-2512,rus,0.3601902429836127,0.3297022143038941
EuroLLM-9B-Instruct-2512,ukr,0.4144641437058521,0.3297022143038941
EuroLLM-9B-Instruct-2512,zho,1.058614564831261,0.3297022143038941
OLMo-2-0325-32B-Instruct,ara,0.8919114777858298,0.2992618987019598
OLMo-2-0325-32B-Instruct,dan,0.4123695976154992,0.2992618987019598
OLMo-2-0325-32B-Instruct,deu,0.3596510748141884,0.2992618987019598
OLMo-2-0325-32B-Instruct,eng,0.2992618987019598,0.2992618987019598
OLMo-2-0325-32B-Instruct,eng_metric,0.2981002425222312,0.2992618987019598
OLMo-2-0325-32B-Instruct,est,0.4779027325638749,0.2992618987019598
OLMo-2-0325-32B-Instruct,fra,0.3641796369798867,0.2992618987019598
OLMo-2-0325-32B-Instruct,hin,1.2682571572074337,0.2992618987019598
OLMo-2-0325-32B-Instruct,isl,0.5279846264712947,0.2992618987019598
OLMo-2-0325-32B-Instruct,ita,0.3816052297076448,0.2992618987019598
OLMo-2-0325-32B-Instruct,jpn,1.014064190407501,0.2992618987019598
OLMo-2-0325-32B-Instruct,mar,1.2391908156652165,0.2992618987019598
OLMo-2-0325-32B-Instruct,nld,0.3823884197828709,0.2992618987019598
OLMo-2-0325-32B-Instruct,nob,0.4104608595356301,0.2992618987019598
OLMo-2-0325-32B-Instruct,rus,0.5740723300056508,0.2992618987019598
OLMo-2-0325-32B-Instruct,ukr,0.7268559666931749,0.2992618987019598
OLMo-2-0325-32B-Instruct,uncorrected_isl,0.5279846264712947,0.2992618987019598
OLMo-2-0325-32B-Instruct,zho,1.4850291804110631,0.2992618987019598
OLMo-2-0425-1B-Instruct,ara,0.8919114777858298,0.2992618987019598
OLMo-2-0425-1B-Instruct,dan,0.4123695976154992,0.2992618987019598
OLMo-2-0425-1B-Instruct,deu,0.3596510748141884,0.2992618987019598
OLMo-2-0425-1B-Instruct,eng,0.2992618987019598,0.2992618987019598
OLMo-2-0425-1B-Instruct,eng_metric,0.2981002425222312,0.2992618987019598
OLMo-2-0425-1B-Instruct,est,0.4779027325638749,0.2992618987019598
OLMo-2-0425-1B-Instruct,fra,0.3641796369798867,0.2992618987019598
OLMo-2-0425-1B-Instruct,hin,1.2682571572074337,0.2992618987019598
OLMo-2-0425-1B-Instruct,isl,0.5279846264712947,0.2992618987019598
OLMo-2-0425-1B-Instruct,ita,0.3816052297076448,0.2992618987019598
OLMo-2-0425-1B-Instruct,jpn,1.014064190407501,0.2992618987019598
OLMo-2-0425-1B-Instruct,mar,1.2391908156652165,0.2992618987019598
OLMo-2-0425-1B-Instruct,nld,0.3823884197828709,0.2992618987019598
OLMo-2-0425-1B-Instruct,nob,0.4104608595356301,0.2992618987019598
OLMo-2-0425-1B-Instruct,rus,0.5740723300056508,0.2992618987019598
